Date,Cases by Report Date,Molecular (PCR) Positive Cases by Specimen Date,Antigen Positive Cases by Specimen Date,Deaths by Date of Death,Total Deaths
11/3/2020,"2,349","2,641",300,31,4879
11/2/2020,"1,336","3,104",402,40,4848
11/1/2020,"2,057",931,83,42,4808
10/31/2020,"2,805","1,068",101,34,4766
10/30/2020,"2,809","2,242",219,34,4732
10/29/2020,"2,885","1,980",269,41,4698
10/28/2020,"2,253","2,444",278,50,4657
10/27/2020,"2,141","2,429",254,28,4607
10/26/2020,"1,643","2,973",358,30,4579
10/25/2020,"1,807",908,98,33,4549
10/24/2020,"2,584","1,072",119,37,4516
10/23/2020,"2,716","2,196",258,22,4479
10/22/2020,"2,400","2,134",283,28,4457
10/21/2020,"1,842","2,458",243,35,4429
10/20/2020,"1,578","2,448",289,33,4394
10/19/2020,"1,144","2,769",347,41,4361
10/18/2020,"2,303",840,88,18,4320
10/17/2020,"2,102",939,112,35,4302
10/16/2020,"2,684","2,043",228,29,4267
10/15/2020,"2,532","2,096",282,27,4238
10/14/2020,"1,926","2,110",246,23,4211
10/13/2020,"1,734","2,373",281,36,4188
10/12/2020,"1,276","2,652",319,23,4152
10/11/2020,"1,719",895,76,22,4129
10/10/2020,"2,321",930,96,28,4107
10/9/2020,"2,034","1,804",202,30,4079
10/8/2020,"2,428","1,992",213,26,4049
10/7/2020,"1,711","1,907",244,26,4023
10/6/2020,"1,504","2,063",243,26,3997
10/5/2020,"2,258","2,460",292,27,3971
10/4/2020,610,815,60,28,3944
10/3/2020,"2,202",983,93,27,3916
10/2/2020,"1,775","1,824",175,19,3889
10/1/2020,"2,277","1,813",189,18,3870
9/30/2020,"1,495","1,832",172,20,3852
9/29/2020,889,"1,799",195,32,3832
9/28/2020,868,"2,100",299,32,3800
9/27/2020,"1,290",635,47,30,3768
9/26/2020,"1,759",764,51,26,3738
9/25/2020,"1,693","1,218",138,27,3712
9/24/2020,"1,836","1,484",147,30,3685
9/23/2020,"1,101","1,456",108,25,3655
9/22/2020,"1,312","1,519",121,29,3630
9/21/2020,800,"1,731",158,31,3601
9/20/2020,"1,335",584,36,28,3570
9/19/2020,"1,239",665,37,18,3542
9/18/2020,"1,504","1,295",123,26,3524
9/17/2020,"1,632","1,277",113,33,3498
9/16/2020,"1,234","1,406",87,37,3465
9/15/2020,"1,210","1,490",124,23,3428
9/14/2020,948,"1,717",144,40,3405
9/13/2020,"1,220",602,41,24,3365
9/12/2020,"1,478",661,33,21,3341
9/11/2020,"1,610","1,255",89,28,3320
9/10/2020,"1,307","1,398",100,35,3292
9/9/2020,969,"1,515",111,21,3257
9/8/2020,833,"1,871",121,26,3236
9/7/2020,"1,039",715,41,31,3210
9/6/2020,"1,099",607,29,27,3179
9/5/2020,"1,586",648,31,28,3152
9/4/2020,"2,121","1,244",61,23,3124
9/3/2020,"1,716","1,527",88,27,3101
9/2/2020,"1,216","1,732",84,36,3074
9/1/2020,"2,209","1,614",110,31,3038
8/31/2020,"1,287","1,800",109,27,3007
8/30/2020,"1,952",630,25,25,2980
8/29/2020,"1,723",837,36,39,2955
8/28/2020,"1,479","1,542",82,28,2916
8/27/2020,"2,177","1,676",79,25,2888
8/26/2020,"1,342","1,749",83,22,2863
8/25/2020,"1,446","2,011",87,30,2841
8/24/2020,"1,389","2,174",145,23,2811
8/23/2020,"1,490",775,21,28,2788
8/22/2020,"1,781",848,43,29,2760
8/21/2020,"2,075","1,767",84,27,2731
8/20/2020,"2,050","1,718",86,16,2704
8/19/2020,"1,218","1,722",83,26,2688
8/18/2020,"1,336","1,965",84,40,2662
8/17/2020,431,"1,984",120,32,2622
8/16/2020,"1,400",629,15,31,2590
8/15/2020,"1,662",755,32,27,2559
8/14/2020,"1,210","1,538",52,16,2532
8/13/2020,"1,978","1,482",78,24,2516
8/12/2020,"1,308","1,501",83,32,2492
8/11/2020,"1,131","1,472",104,29,2460
8/10/2020,512,"1,722",76,33,2431
8/9/2020,"1,626",582,15,35,2398
8/8/2020,"1,987",716,16,22,2363
8/7/2020,"1,582","1,394",35,40,2341
8/6/2020,"2,049","1,465",80,24,2301
8/5/2020,"1,185","1,714",54,25,2277
8/4/2020,"1,694","1,534",56,33,2252
8/3/2020,"1,388","1,899",97,24,2219
8/2/2020,"1,362",708,21,25,2195
8/1/2020,"1,753",774,11,41,2170
7/31/2020,"2,018","1,707",50,30,2129
7/30/2020,"2,411","1,793",55,32,2099
7/29/2020,"1,826","1,828",81,25,2067
7/28/2020,"1,805","1,997",73,25,2042
7/27/2020,"1,685","2,115",66,32,2017
7/26/2020,"1,645",704,18,21,1985
7/25/2020,"2,114",868,25,23,1964
7/24/2020,"2,145","1,947",55,22,1941
7/23/2020,"1,945","1,818",57,31,1919
7/22/2020,"2,191","1,997",72,27,1888
7/21/2020,"1,863","2,266",66,25,1861
7/20/2020,"1,291","2,323",44,31,1836
7/19/2020,"1,820",812,6,20,1805
7/18/2020,"2,486",960,4,17,1785
7/17/2020,"2,082","1,927",31,23,1768
7/16/2020,"2,191","2,074",46,22,1745
7/15/2020,"1,816","2,227",39,16,1723
7/14/2020,"1,991","2,441",58,25,1707
7/13/2020,"1,846","2,462",34,13,1682
7/12/2020,"1,909",858,5,27,1669
7/11/2020,"2,467",981,13,17,1642
7/10/2020,"2,007","2,122",28,24,1625
7/9/2020,"2,059","2,147",31,12,1601
7/8/2020,"1,449","2,536",21,17,1589
7/7/2020,"1,367","2,789",23,14,1572
7/6/2020,"1,563","2,516",27,19,1558
7/5/2020,"1,330",759,4,19,1539
7/4/2020,"1,419",581,8,17,1520
7/3/2020,"2,102","1,345",9,12,1503
7/2/2020,"1,639","2,019",14,12,1491
7/1/2020,"1,862","2,058",12,11,1479
6/30/2020,"1,196","2,293",13,22,1468
6/29/2020,"1,349","2,506",16,17,1446
6/28/2020,"1,605","1,037",1,12,1429
6/27/2020,"1,720",933,0,12,1417
6/26/2020,"1,649","1,952",18,15,1405
6/25/2020,"1,024","1,946",9,17,1390
6/24/2020,"1,724","1,893",10,12,1373
6/23/2020,854,"2,079",9,18,1361
6/22/2020,805,"2,025",4,9,1343
6/21/2020,"1,412",698,0,20,1334
6/20/2020,"1,549",757,1,12,1314
6/19/2020,"1,655","1,611",5,17,1302
6/18/2020,"1,335","1,765",3,16,1285
6/17/2020,"1,002","1,707",2,13,1269
6/16/2020,751,"1,582",1,9,1256
6/15/2020,983,"1,690",0,8,1247
6/14/2020,"1,444",544,1,23,1239
6/13/2020,"1,429",684,2,21,1216
6/12/2020,"1,768","1,435",0,12,1195
6/11/2020,"1,310","1,430",1,12,1183
6/10/2020,"1,011","1,446",1,12,1171
6/9/2020,676,"1,546",0,13,1159
6/8/2020,938,"1,654",0,21,1146
6/7/2020,921,434,1,13,1125
6/6/2020,"1,370",482,0,17,1112
6/5/2020,"1,289","1,318",2,21,1095
6/4/2020,"1,190","1,344",2,10,1074
6/3/2020,888,"1,436",1,19,1064
6/2/2020,626,"1,263",2,21,1045
6/1/2020,674,"1,504",0,17,1024
5/31/2020,916,332,0,21,1007
5/30/2020,"1,185",443,0,19,986
5/29/2020,"1,076","1,112",0,20,967
5/28/2020,784,"1,015",0,19,947
5/27/2020,488,992,2,25,928
5/26/2020,176,"1,363",2,28,903
5/25/2020,742,369,0,32,875
5/24/2020,497,258,0,19,843
5/23/2020,"1,107",340,0,21,824
5/22/2020,758,745,1,20,803
5/21/2020,738,861,0,18,783
5/20/2020,423,836,0,15,765
5/19/2020,677,964,1,19,750
5/18/2020,511,"1,062",0,12,731
5/17/2020,530,193,0,15,719
5/16/2020,853,285,0,11,704
5/15/2020,622,703,1,8,693
5/14/2020,691,758,0,13,685
5/13/2020,470,711,0,14,672
5/12/2020,301,679,0,18,658
5/11/2020,281,765,0,15,640
5/10/2020,404,117,0,25,625
5/9/2020,492,193,0,11,600
5/8/2020,471,543,0,19,589
5/7/2020,639,620,1,19,570
5/6/2020,502,712,0,12,551
5/5/2020,408,551,0,25,539
5/4/2020,184,688,0,18,514
5/3/2020,155,172,0,19,496
5/2/2020,586,182,0,13,477
5/1/2020,414,450,0,17,464
4/30/2020,561,461,0,14,447
4/29/2020,380,436,0,19,433
4/28/2020,426,432,0,15,414
4/27/2020,312,559,0,15,399
4/26/2020,207,120,0,24,384
4/25/2020,571,255,0,21,360
4/24/2020,444,576,0,16,339
4/23/2020,388,507,0,17,323
4/22/2020,269,437,0,13,306
4/21/2020,187,463,0,20,293
4/20/2020,271,438,0,18,273
4/19/2020,353,120,1,15,255
4/18/2020,281,139,0,19,240
4/17/2020,394,258,0,14,221
4/16/2020,342,541,0,26,207
4/15/2020,99,376,1,23,181
4/14/2020,208,284,0,16,158
