Date,Cases by Report Date,Molecular (PCR) Positive Cases by Specimen Date,Antigen Positive Cases by Specimen Date,Deaths by Date of Death,Total Deaths
10/1/2021,"4,963",,,,
9/30/2021,"4,765",,,1,16594
9/29/2021,"4,789","1,152",463,14,16593
9/28/2021,"3,469","2,784",657,29,16579
9/27/2021,"2,665","4,235",977,29,16550
9/26/2021,"5,354","1,747",336,40,16521
9/25/2021,"5,469","1,998",314,38,16481
9/24/2021,"5,805","3,651",676,51,16443
9/23/2021,"5,953","3,937",827,54,16392
9/22/2021,"6,288","4,223",843,48,16338
9/21/2021,"4,381","4,769",929,43,16290
9/20/2021,"3,257","6,058","1,172",51,16247
9/19/2021,"5,962","2,067",363,54,16196
9/18/2021,"6,605","2,465",431,48,16142
9/17/2021,"7,905","4,697",870,61,16094
9/16/2021,"7,160","5,063","1,053",66,16033
9/15/2021,"7,277","5,380","1,078",69,15967
9/14/2021,"4,760","6,057","1,100",70,15898
9/13/2021,"5,346","7,512","1,606",78,15828
9/12/2021,"7,207","2,612",467,71,15750
9/11/2021,"11,337","3,155",564,60,15679
9/10/2021,"5,877","5,836","1,125",73,15619
9/9/2021,"6,290","6,452","1,289",57,15546
9/8/2021,"4,752","7,985","1,456",61,15489
9/7/2021,"4,124","9,449","1,758",61,15428
9/6/2021,"5,274","2,591",607,63,15367
9/5/2021,"7,275","2,886",490,62,15304
9/4/2021,"8,515","3,465",482,60,15242
9/3/2021,"8,590","6,125","1,018",78,15182
9/2/2021,"7,901","6,749","1,258",70,15104
9/1/2021,"7,248","6,677","1,308",66,15034
8/31/2021,"5,351","7,336","1,462",76,14968
8/30/2021,"4,569","8,169","1,773",61,14892
8/29/2021,"6,844","2,963",519,66,14831
8/28/2021,"7,594","3,858",540,50,14765
8/27/2021,"8,105","6,341","1,141",60,14715
8/26/2021,"8,620","6,477","1,287",63,14655
8/25/2021,"6,130","6,926","1,332",45,14592
8/24/2021,"4,623","6,880","1,378",53,14547
8/23/2021,"5,184","8,177","1,690",61,14494
8/22/2021,"6,744","3,013",515,52,14433
8/21/2021,"4,996","3,456",549,44,14381
8/20/2021,"6,631","5,714","1,008",54,14337
8/19/2021,"7,020","5,752","1,061",34,14283
8/18/2021,"5,256","5,711","1,126",37,14249
8/17/2021,"3,575","5,445","1,089",51,14212
8/16/2021,"3,778","6,570","1,399",42,14161
8/15/2021,"5,229","2,629",510,39,14119
8/14/2021,"5,991","2,819",470,31,14080
8/13/2021,"6,628","4,851",898,31,14049
8/12/2021,"5,900","4,887","1,130",36,14018
8/11/2021,"4,963","4,945","1,163",29,13982
8/10/2021,"2,985","5,103","1,145",29,13953
8/9/2021,"3,863","5,636","1,308",18,13924
