Date,New Cases by Report Date,New Cases by Specimen Date,Positive Test Percentage,NC Daily Tests,NC Deaths
9/22/2020,"1,168",,,,3286.00
9/21/2020,800,30,,"14,029",3247.00
9/20/2020,"1,333",260,5.40%,"22,476",3243.00
9/19/2020,"1,229",451,5.30%,"25,953",3235.00
9/18/2020,"1,443","1,082",4.60%,"34,307",3207.00
9/17/2020,"1,552","1,127",4.70%,"37,512",3180.00
9/16/2020,"1,137","1,313",4.80%,"28,427",3149.00
9/15/2020,"1,106","1,364",5.70%,"15,518",3111.00
9/14/2020,845,"1,675",5.80%,"18,342",3060.00
9/13/2020,"1,196",595,5.00%,"26,202",3052.00
9/12/2020,"1,454",657,4.70%,"33,382",3047.00
9/11/2020,"1,532","1,237",5.00%,"38,692",3023.00
9/10/2020,"1,222","1,387",5.00%,"33,872",2990.00
9/9/2020,897,"1,470",5.10%,"15,535",2958.00
9/8/2020,716,"1,858",6.50%,"10,617",2909.00
9/7/2020,"1,018",701,7.10%,"15,250",2897.00
9/6/2020,"1,086",599,5.90%,"25,207",2890.00
9/5/2020,"1,561",639,5.70%,"28,779",2889.00
9/4/2020,"2,045","1,233",6.00%,"32,622",2839.00
9/3/2020,"1,656","1,502",5.40%,"36,879",2803.00
9/2/2020,"1,129","1,719",6.30%,"28,874",2779.00
9/1/2020,"2,111","1,624",6.60%,"15,063",2741.00
8/31/2020,"1,186","1,789",7.70%,"18,621",2702.00
8/30/2020,"1,937",638,6.60%,"25,042",2692.00
8/29/2020,"1,694",830,7.70%,"30,968",2683.00
8/28/2020,"1,410","1,543",6.00%,"34,868",2652.00
8/27/2020,"2,096","1,686",6.20%,"35,716",2630.00
8/26/2020,"1,248","1,736",7.10%,"31,132",2606.00
8/25/2020,"1,339","2,005",6.50%,"14,918",2570.00
8/24/2020,"1,278","2,185",8.10%,"13,120",2535.00
8/23/2020,"1,475",776,7.30%,"24,169",2531.00
8/22/2020,"1,735",854,6.40%,"24,904",2521.00
8/21/2020,"1,998","1,754",6.40%,"25,761",2494.00
8/20/2020,"1,975","1,706",6.80%,"26,022",2465.00
8/19/2020,"1,160","1,713",7.50%,"25,739",2431.00
8/18/2020,"1,259","1,973",6.50%,"10,893",2396.00
8/17/2020,342,"1,991",6.70%,"13,862",2348.00
8/16/2020,"1,373",625,6.30%,"23,021",2347.00
8/15/2020,"1,632",759,6.30%,"25,652",2343.00
8/14/2020,"1,160","1,558",6.30%,"22,856",2313.00
8/13/2020,"1,903","1,485",5.90%,"30,068",2287.00
8/12/2020,"1,214","1,508",6.40%,"26,715",2249.00
