,date,price
0,1986-01-01,22.93
1,1986-02-01,15.46
2,1986-03-01,12.61
3,1986-04-01,12.84
4,1986-05-01,15.38
5,1986-06-01,13.43
6,1986-07-01,11.59
7,1986-08-01,15.1
8,1986-09-01,14.87
9,1986-10-01,14.9
10,1986-11-01,15.22
11,1986-12-01,16.11
12,1987-01-01,18.65
13,1987-02-01,17.75
14,1987-03-01,18.3
15,1987-04-01,18.68
16,1987-05-01,19.44
17,1987-06-01,20.07
18,1987-07-01,21.34
19,1987-08-01,20.31
20,1987-09-01,19.53
21,1987-10-01,19.86
22,1987-11-01,18.85
23,1987-12-01,17.28
24,1988-01-01,17.13
25,1988-02-01,16.8
26,1988-03-01,16.2
27,1988-04-01,17.86
28,1988-05-01,17.42
29,1988-06-01,16.53
30,1988-07-01,15.5
31,1988-08-01,15.52
32,1988-09-01,14.54
33,1988-10-01,13.77
34,1988-11-01,14.14
35,1988-12-01,16.38
36,1989-01-01,18.02
37,1989-02-01,17.94
38,1989-03-01,19.48
39,1989-04-01,21.07
40,1989-05-01,20.12
41,1989-06-01,20.05
42,1989-07-01,19.78
43,1989-08-01,18.58
44,1989-09-01,19.59
45,1989-10-01,20.1
46,1989-11-01,19.86
47,1989-12-01,21.1
48,1990-01-01,22.86
49,1990-02-01,22.11
50,1990-03-01,20.39
51,1990-04-01,18.43
52,1990-05-01,18.2
53,1990-06-01,16.7
54,1990-07-01,18.45
55,1990-08-01,27.31
56,1990-09-01,33.51
57,1990-10-01,36.04
58,1990-11-01,32.33
59,1990-12-01,27.28
60,1991-01-01,25.23
61,1991-02-01,20.48
62,1991-03-01,19.9
63,1991-04-01,20.83
64,1991-05-01,21.23
65,1991-06-01,20.19
66,1991-07-01,21.4
67,1991-08-01,21.69
68,1991-09-01,21.89
69,1991-10-01,23.23
70,1991-11-01,22.46
71,1991-12-01,19.5
72,1992-01-01,18.79
73,1992-02-01,19.01
74,1992-03-01,18.92
75,1992-04-01,20.23
76,1992-05-01,20.98
77,1992-06-01,22.39
78,1992-07-01,21.78
79,1992-08-01,21.34
80,1992-09-01,21.88
81,1992-10-01,21.69
82,1992-11-01,20.34
83,1992-12-01,19.41
84,1993-01-01,19.03
85,1993-02-01,20.09
86,1993-03-01,20.32
87,1993-04-01,20.25
88,1993-05-01,19.95
89,1993-06-01,19.09
90,1993-07-01,17.89
91,1993-08-01,18.01
92,1993-09-01,17.5
93,1993-10-01,18.15
94,1993-11-01,16.61
95,1993-12-01,14.52
96,1994-01-01,15.03
97,1994-02-01,14.78
98,1994-03-01,14.68
99,1994-04-01,16.42
100,1994-05-01,17.89
101,1994-06-01,19.06
102,1994-07-01,19.66
103,1994-08-01,18.38
104,1994-09-01,17.45
105,1994-10-01,17.72
106,1994-11-01,18.07
107,1994-12-01,17.16
108,1995-01-01,18.04
109,1995-02-01,18.57
110,1995-03-01,18.54
111,1995-04-01,19.9
112,1995-05-01,19.74
113,1995-06-01,18.45
114,1995-07-01,17.33
115,1995-08-01,18.02
116,1995-09-01,18.23
117,1995-10-01,17.43
118,1995-11-01,17.99
119,1995-12-01,19.03
120,1996-01-01,18.86
121,1996-02-01,19.09
122,1996-03-01,21.33
123,1996-04-01,23.5
124,1996-05-01,21.17
125,1996-06-01,20.42
126,1996-07-01,21.3
127,1996-08-01,21.9
128,1996-09-01,23.97
129,1996-10-01,24.88
130,1996-11-01,23.71
131,1996-12-01,25.23
132,1997-01-01,25.13
133,1997-02-01,22.18
134,1997-03-01,20.97
135,1997-04-01,19.7
136,1997-05-01,20.82
137,1997-06-01,19.26
138,1997-07-01,19.66
139,1997-08-01,19.95
140,1997-09-01,19.8
141,1997-10-01,21.33
142,1997-11-01,20.19
143,1997-12-01,18.33
144,1998-01-01,16.72
145,1998-02-01,16.06
146,1998-03-01,15.12
147,1998-04-01,15.35
148,1998-05-01,14.91
149,1998-06-01,13.72
150,1998-07-01,14.17
151,1998-08-01,13.47
152,1998-09-01,15.03
153,1998-10-01,14.46
154,1998-11-01,13.0
155,1998-12-01,11.35
156,1999-01-01,12.52
157,1999-02-01,12.01
158,1999-03-01,14.68
159,1999-04-01,17.31
160,1999-05-01,17.72
161,1999-06-01,17.92
162,1999-07-01,20.1
163,1999-08-01,21.28
164,1999-09-01,23.8
165,1999-10-01,22.69
166,1999-11-01,25.0
167,1999-12-01,26.1
168,2000-01-01,27.26
169,2000-02-01,29.37
170,2000-03-01,29.84
171,2000-04-01,25.72
172,2000-05-01,28.79
173,2000-06-01,31.82
174,2000-07-01,29.7
175,2000-08-01,31.26
176,2000-09-01,33.88
177,2000-10-01,33.11
178,2000-11-01,34.42
179,2000-12-01,28.44
180,2001-01-01,29.59
181,2001-02-01,29.61
182,2001-03-01,27.25
183,2001-04-01,27.49
184,2001-05-01,28.63
